starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 21 16:24:43 2022	1647854683	0	68	68	64
Mon Mar 21 16:24:43 2022	1647854683	3	65	69	65
Mon Mar 21 16:24:43 2022	1647854683	3	68	71	67
Mon Mar 21 16:24:43 2022	1647854683	3	652	654	651
Mon Mar 21 16:24:43 2022	1647854683	2	667	669	666
Mon Mar 21 16:24:43 2022	1647854683	3	690	693	689
Mon Mar 21 16:24:43 2022	1647854683	3	717	720	717
Mon Mar 21 16:24:43 2022	1647854683	3	723	726	722
Mon Mar 21 16:24:43 2022	1647854683	3	734	737	733
Mon Mar 21 16:24:43 2022	1647854683	3	742	745	742
Mon Mar 21 16:24:43 2022	1647854683	2	780	783	780
Mon Mar 21 16:24:43 2022	1647854683	3	790	793	790
Mon Mar 21 16:25:11 2022	1647854711	0	836	836	835
Mon Mar 21 16:25:11 2022	1647854711	0	885	885	884
Mon Mar 21 16:25:11 2022	1647854711	0	885	885	884
Mon Mar 21 16:25:11 2022	1647854711	0	942	942	942
Mon Mar 21 16:25:11 2022	1647854711	0	947	947	947
Mon Mar 21 16:24:47 2022	1647854687	0	955	955	954
Mon Mar 21 16:24:47 2022	1647854687	0	963	963	963
Mon Mar 21 16:25:11 2022	1647854711	0	964	964	963
Mon Mar 21 16:25:11 2022	1647854711	0	971	971	971
Mon Mar 21 16:25:11 2022	1647854711	0	974	974	974
Mon Mar 21 16:25:11 2022	1647854711	0	974	975	974
Mon Mar 21 16:25:11 2022	1647854711	0	974	975	974
Mon Mar 21 16:24:43 2022	1647854683	3	977	980	977
Mon Mar 21 16:25:11 2022	1647854711	0	981	981	980
Mon Mar 21 16:24:43 2022	1647854683	3	982	985	981
Mon Mar 21 16:25:11 2022	1647854711	0	993	993	992
Mon Mar 21 16:24:43 2022	1647854683	3	994	997	993
Mon Mar 21 16:24:47 2022	1647854687	0	1000	1001	1000
Mon Mar 21 16:24:43 2022	1647854683	3	1007	1010	1007
Mon Mar 21 16:24:47 2022	1647854687	0	1010	1010	1009
Mon Mar 21 16:24:43 2022	1647854683	3	1011	1015	1011
Mon Mar 21 16:24:47 2022	1647854687	0	1015	1015	1014
Mon Mar 21 16:24:43 2022	1647854683	2	1014	1016	1013
Mon Mar 21 16:25:11 2022	1647854711	0	1017	1017	1017
Mon Mar 21 16:25:11 2022	1647854711	0	1029	1029	1029
Mon Mar 21 16:25:11 2022	1647854711	0	1039	1039	1038
Mon Mar 21 16:24:48 2022	1647854688	0	1044	1044	1043
Mon Mar 21 16:24:44 2022	1647854684	0	1045	1045	1045
Mon Mar 21 16:25:11 2022	1647854711	0	1050	1050	1049
Mon Mar 21 16:24:47 2022	1647854687	0	1051	1051	1051
Mon Mar 21 16:24:43 2022	1647854683	3	1048	1052	1048
Mon Mar 21 16:24:47 2022	1647854687	0	1053	1053	1052
Mon Mar 21 16:24:47 2022	1647854687	0	1059	1059	1058
Mon Mar 21 16:24:43 2022	1647854683	3	1057	1060	1056
Mon Mar 21 16:24:43 2022	1647854683	3	1057	1060	1056
Mon Mar 21 16:24:43 2022	1647854683	3	1058	1061	1057
Mon Mar 21 16:24:47 2022	1647854687	0	1061	1061	1060
Mon Mar 21 16:24:44 2022	1647854684	0	1063	1063	1063
Mon Mar 21 16:24:43 2022	1647854683	3	1062	1065	1061
Mon Mar 21 16:25:11 2022	1647854711	0	1065	1065	1065
Mon Mar 21 16:25:11 2022	1647854711	0	1066	1066	1065
Mon Mar 21 16:25:11 2022	1647854711	0	1069	1069	1068
Mon Mar 21 16:25:11 2022	1647854711	0	1069	1069	1068
Mon Mar 21 16:24:43 2022	1647854683	3	1068	1071	1067
Mon Mar 21 16:25:11 2022	1647854711	0	1076	1076	1075
Mon Mar 21 16:24:43 2022	1647854683	3	1077	1079	1076
Mon Mar 21 16:24:43 2022	1647854683	3	1078	1080	1077
Mon Mar 21 16:24:44 2022	1647854684	0	1082	1083	1082
Mon Mar 21 16:24:47 2022	1647854687	0	1084	1084	1083
Mon Mar 21 16:25:11 2022	1647854711	0	1085	1085	1085
Mon Mar 21 16:25:11 2022	1647854711	0	1087	1087	1086
Mon Mar 21 16:24:43 2022	1647854683	3	1085	1088	1084
Mon Mar 21 16:25:11 2022	1647854711	0	1091	1091	1090
Mon Mar 21 16:24:43 2022	1647854683	3	1089	1092	1089
