starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:19:42 2022	1647933582	0	143	143	140
Tue Mar 22 14:20:47 2022	1647933647	1	1766	1767	1766
Tue Mar 22 14:20:46 2022	1647933646	0	1815	1815	1814
Tue Mar 22 14:20:46 2022	1647933646	0	1846	1846	1845
Tue Mar 22 14:20:46 2022	1647933646	0	1894	1894	1893
Tue Mar 22 14:20:46 2022	1647933646	0	1937	1937	1936
Tue Mar 22 14:20:46 2022	1647933646	0	1956	1956	1955
Tue Mar 22 14:20:46 2022	1647933646	0	1973	1974	1973
Tue Mar 22 14:20:46 2022	1647933646	0	2031	2031	2030
Tue Mar 22 14:20:46 2022	1647933646	0	2036	2036	2036
Tue Mar 22 14:20:46 2022	1647933646	0	2045	2045	2045
Tue Mar 22 14:20:46 2022	1647933646	0	2086	2086	2086
Tue Mar 22 14:20:46 2022	1647933646	0	2091	2091	2091
Tue Mar 22 14:20:46 2022	1647933646	0	2091	2091	2090
Tue Mar 22 14:20:46 2022	1647933646	0	2101	2101	2100
Tue Mar 22 14:20:46 2022	1647933646	0	2118	2118	2117
Tue Mar 22 14:20:46 2022	1647933646	0	2129	2129	2129
Tue Mar 22 14:19:42 2022	1647933582	2	2136	2138	2135
Tue Mar 22 14:19:42 2022	1647933582	2	2145	2147	2144
Tue Mar 22 14:20:46 2022	1647933646	0	2168	2168	2168
Tue Mar 22 14:20:46 2022	1647933646	0	2170	2170	2170
Tue Mar 22 14:19:42 2022	1647933582	2	2170	2172	2170
Tue Mar 22 14:19:42 2022	1647933582	3	2170	2173	2169
Tue Mar 22 14:20:46 2022	1647933646	0	2186	2186	2186
Tue Mar 22 14:19:42 2022	1647933582	2	2185	2186	2184
Tue Mar 22 14:19:42 2022	1647933582	3	2199	2202	2198
Tue Mar 22 14:20:46 2022	1647933646	0	2209	2209	2207
Tue Mar 22 14:20:46 2022	1647933646	0	2215	2216	2215
Tue Mar 22 14:19:42 2022	1647933582	3	2223	2226	2222
Tue Mar 22 14:19:42 2022	1647933582	2	2230	2232	2230
Tue Mar 22 14:19:42 2022	1647933582	2	2232	2234	2232
